time,signal,price,qty,fee,balance,position,pnl
2025-12-03 08:50:00,buy,135634000.0000,0.00007373,5.00,983690.08,0.00007373,0.00
2025-12-03 08:55:00,buy,135626000.0000,0.00007373,5.00,973685.08,0.00014746,0.00
2025-12-03 09:00:00,buy,135875000.0000,0.00007360,5.00,963680.08,0.00022106,0.00
2025-12-03 09:25:00,buy,135602000.0000,0.00007375,5.00,953675.08,0.00029480,0.00
2025-12-03 09:30:00,buy,135364000.0000,0.00007387,5.00,943670.08,0.00036868,0.00
2025-12-03 10:35:00,sell,136866000.0000,0.00036868,25.23,994104.21,0.00000000,409.14
2025-12-03 16:15:00,buy,138209000.0000,0.00007235,5.00,984099.21,0.00007235,0.00
2025-12-03 16:25:00,buy,138401000.0000,0.00007225,5.00,974094.21,0.00014461,0.00
2025-12-03 16:30:00,buy,138401000.0000,0.00007225,5.00,964089.21,0.00021686,0.00
2025-12-03 16:35:00,buy,138346000.0000,0.00007228,5.00,954084.21,0.00028914,0.00
2025-12-03 16:40:00,buy,138500000.0000,0.00007220,5.00,944079.21,0.00036135,0.00
2025-12-03 16:45:00,buy,138428000.0000,0.00007224,5.00,934074.21,0.00043359,0.00
2025-12-03 19:15:00,sell,138848000.0000,0.00043359,30.10,994246.70,0.00000000,142.48
2025-12-03 21:30:00,buy,137990000.0000,0.00007247,5.00,984241.70,0.00007247,0.00
2025-12-03 22:25:00,sell,138534000.0000,0.00007247,5.02,994276.10,0.00000000,29.40
2025-12-03 23:00:00,buy,136500000.0000,0.00007326,5.00,984271.10,0.00007326,0.00
2025-12-03 23:10:00,buy,136800000.0000,0.00007310,5.00,974266.10,0.00014636,0.00
2025-12-04 01:10:00,buy,136906000.0000,0.00007304,5.00,964261.10,0.00021940,0.00
2025-12-04 03:05:00,sell,138327000.0000,0.00021940,15.17,994595.19,0.00000000,319.09
2025-12-04 04:20:00,buy,137627000.0000,0.00007266,5.00,984590.19,0.00007266,0.00
2025-12-04 05:30:00,sell,138375000.0000,0.00007266,5.03,994639.51,0.00000000,44.32
2025-12-04 09:10:00,buy,138200000.0000,0.00007236,5.00,984634.51,0.00007236,0.00
2025-12-04 09:15:00,buy,138500000.0000,0.00007220,5.00,974629.51,0.00014456,0.00
2025-12-04 09:20:00,buy,138280000.0000,0.00007232,5.00,964624.51,0.00021688,0.00
2025-12-04 09:25:00,buy,137998000.0000,0.00007246,5.00,954619.51,0.00028934,0.00
2025-12-04 09:30:00,buy,137849000.0000,0.00007254,5.00,944614.51,0.00036189,0.00
2025-12-04 09:35:00,buy,138079000.0000,0.00007242,5.00,934609.51,0.00043431,0.00
2025-12-04 10:35:00,sell,139129000.0000,0.00043431,30.21,995004.19,0.00000000,364.68
2025-12-04 13:15:00,buy,139072000.0000,0.00007191,5.00,984999.19,0.00007191,0.00
2025-12-04 13:20:00,buy,139011000.0000,0.00007194,5.00,974994.19,0.00014384,0.00
2025-12-04 14:00:00,buy,138850000.0000,0.00007202,5.00,964989.19,0.00021586,0.00
2025-12-04 14:05:00,buy,138665000.0000,0.00007212,5.00,954984.19,0.00028798,0.00
2025-12-04 14:15:00,buy,138507000.0000,0.00007220,5.00,944979.19,0.00036018,0.00
2025-12-04 14:20:00,buy,138569000.0000,0.00007217,5.00,934974.19,0.00043234,0.00
2025-12-04 14:35:00,buy,138445000.0000,0.00007223,5.00,924969.19,0.00050457,0.00
2025-12-04 14:40:00,buy,138325000.0000,0.00007229,5.00,914964.19,0.00057687,0.00
2025-12-04 14:45:00,buy,138204000.0000,0.00007236,5.00,904959.19,0.00064922,0.00
2025-12-04 14:50:00,buy,138170000.0000,0.00007237,5.00,894954.19,0.00072160,0.00
2025-12-04 15:00:00,buy,138255000.0000,0.00007233,5.00,884949.19,0.00079393,0.00
2025-12-04 20:10:00,buy,138663000.0000,0.00007212,5.00,874944.19,0.00086605,0.00
2025-12-04 20:20:00,buy,138566000.0000,0.00007217,5.00,864939.19,0.00093821,0.00
2025-12-04 20:25:00,buy,138425000.0000,0.00007224,5.00,854934.19,0.00101046,0.00
2025-12-04 20:30:00,buy,138110000.0000,0.00007241,5.00,844929.19,0.00108286,0.00
2025-12-04 20:35:00,buy,138229000.0000,0.00007234,5.00,834924.19,0.00115521,0.00
2025-12-04 20:40:00,buy,138139000.0000,0.00007239,5.00,824919.19,0.00122760,0.00
2025-12-04 20:45:00,buy,138199000.0000,0.00007236,5.00,814914.19,0.00129996,0.00
